Description;2013;2014;2015;2016;2017;2018;2019;;;;;;;
total guests in house;1653;1687;1680;1875;1686;1681;1662;;;;;;;
total guests (adults);1625;1662;1655;1849;1608;1645;1611;;;;;;;
total guests (children);28;25;25;26;78;36;51;;;;;;;
;;;;;;;;;;;;;;
total rooms in house;1.950;1950;1950;1.950;1950;1.950;1950;;;;;;;
total rooms (occupied);1.414;1353;1382;1.564;1366;1.329;1302;;;;;;;
total rooms (free);536;597;568;386;584;621;648;;;;;;;
% occupied rooms;72,51;69,38;70,87;80,21;70,05;68,15;66,77;;;;;;;
;;;;;;;;;;;;;;
complimentary rooms;3;7;4;2;4;2;10;;;;;;;
house use rooms;0;0;0;0;0;0;0;;;;;;;
OOO rooms;14;24;42;47;34;53;39;;;;;;;
OOS rooms;0;0;0;0;0;2;14;;;;;;;
;;;;;;;;;;;;;;
total rooms - OOO;1936;1926;1908;1903;1916;1897;1911;;;;;;;
free rooms - OOO;522;573;526;339;550;568;609;;;;;;;
% occupied rooms - complimentary;72,36;69,03;70,67;80,1;69,85;68,05;66,26;;;;;;;
;;;;;;;;;;;;;;
occupied rooms - copmlimentary/house;1411;1346;1378;1562;1362;1327;1292;;;;;;;
occupied beds;45,54;46,47;46,28;51,65;46,45;46,31;45,79;;;;;;;
single occupied doubles;1.036;860;943;1.077;971;884;864;;;;;;;
;;;;;;;;;;;;;;
arrivals rooms;737;783;811;878;733;842;801;;;;;;;
departures rooms;731;801;830;881;739;872;811;;;;;;;
;;;;;;;;;;;;;;
arrivals guests;907;996;1002;1086;939;1080;1029;;;;;;;
departures guests;915;1009;1016;1080;938;1135;1044;;;;;;;
;;;;;;;;;;;;;;
VIP Gäste;0;0;0;0;0;0;0;;;;;;;
Complimentary Gäste;6;11;6;3;8;6;16;;;;;;;
wiederkehrende Zimmer;355;373;353;359;330;376;341;;;;;;;
Abreisen nicht bezahlt;0;0;0;0;0;0;0;;;;;;;
Reservierungen heute;838;769;769;977;959;936;852;;;;;;;
Walk Ins;4;9;5;4;1;2;2;;;;;;;
Stornierungen für heute;165;171;189;227;119;170;150;;;;;;;
Stornierungen heute;133;184;217;238;160;170;191;;;;;;;
No Show Zimmer;0;0;0;0;0;0;0;;;;;;;
Tageszimmer;2;1;0;3;3;4;3;;;;;;;
;;;;;;;;;;;;;;
Bruttoumsatz Hotel;214.488,69;197.194,86;268.816,44;280.449,75;229.967,53;252.518,55;255.636,72;;;;;;;
Nicht Hotel Umsatz;202,86;-54,55;155,67;152,45;199,04;241,25;172,86;;;;;;;
Bruttoumsatz gesamt;214.691,55;197.140,31;268.972,11;280.602,21;230.166,57;252.759,80;255.809,59;;;;;;;
Nettoumsatz Hotel;192.238,30;178.153,00;239.773,64;250.215,02;206.344,75;225.150,27;228.265,52;;;;;;;
Zahlungen;193.861,19;192.442,71;249.394,58;265.346,59;230.252,77;259.106,50;264.365,65;;;;;;;
;;;;;;;;;;;;;;
Umsatz pro Erwachsener;131,99;118,65;162,43;151,68;143,01;153,51;158,68;;;;;;;
Umsatz pro Person;129,76;116,89;160,01;149,57;136,4;150,22;153,81;;;;;;;
Umsatz pro bel. Zimmer;151,69;145,75;194,51;179,32;168,35;190,01;196,34;;;;;;;
Umsatz pro verfügbaren Zimmer;110,79;102,39;140,89;147,37;120,02;133,11;133,77;;;;;;;
;;;;;;;;;;;;;;
Ø Zim. Umsatz Logis Brutto;89,96;97,5;99,13;98,57;101,1;102,75;107,19;;;;;;;
Ø Zim. Umsatz Logis Brutto - Comp;90,15;98,01;99,42;98,7;101,39;102,9;108,02;;;;;;;
Ø Zim. Umsatz Logis Brutto - Comp / Haus;90,15;98,01;99,42;98,7;101,39;102,9;108,02;;;;;;;
Ø Zim. Umsatz Logis Netto;84,07;91,12;92,65;92,12;94,48;96,03;100,18;;;;;;;
Ø Zim. Umsatz Logis Netto - Comp;84,25;91,6;92,92;92,24;94,76;96,17;100,95;;;;;;;
Ø Zim. Umsatz Logis Netto - Comp / Haus;84,25;91,6;92,92;92,24;94,76;96,17;100,95;;;;;;;
;;;;;;;;;;;;;;
Bruttoumsatz Logis;127.198,80;131.921,40;137.003,20;154.166,85;138.099,27;136.551,00;139.559,70;;;;;;;
Nettoumsatz Logis;118.877,37;123.291,03;128.040,37;144.081,18;129.064,74;127.617,75;130.429,63;;;;;;;
Bruttoumsatz F&B;37.926,75;41.421,43;102.342,03;107.794,90;77.368,81;102.030,43;98.050,06;;;;;;;
Nettoumsatz F&B;31.871,24;34.807,95;86.001,69;90.583,97;65.015,80;85.739,84;82.395,02;;;;;;;
Bruttoumsatz Minibar;967;912,7;745,1;1.034,20;976,7;620,5;675,6;;;;;;;
Nettoumsatz Minibar;812,6;766,97;626,13;869,07;820,75;521,42;567,73;;;;;;;
Bruttoumsatz Telefon;41,37;44,95;24,35;18,15;17,15;1,3;4,8;;;;;;;
Nettoumsatz Telefon;34,76;37,77;20,46;15,25;14,41;1,09;4,03;;;;;;;
Bruttoumsatz Divers;48.354,77;22.894,38;28.701,76;17.435,65;13.505,60;13.315,32;17.346,56;;;;;;;
Nettoumsatz Divers;40.642,32;19.249,28;25.084,98;14.665,54;11.429,04;11.270,16;14.869,12;;;;;;;
Bruttoumsatz, nicht zuge.;0;0;0;0;0;0;0;;;;;;;
Nettoumsatz, nicht zuge.;0;0;0;0;0;0;0;;;;;;;
;;;;;;;;;;;;;;
Umsatz Firma;81.871,50;84.831,30;84.029,90;94.445,20;81.779,80;84.973,60;90.318,58;;;;;;;
Zimmer Firma;1.099;1058;1055;1.107;858;872;924;;;;;;;
Umsatz Reisebüro;22.734,40;22.931,30;24.008,00;29.364,85;27.050,57;31.762,20;25.565,46;;;;;;;
Zimmer Reisebüro;200;357;217;272;216;274;214;;;;;;;
Umsatz Reservierungsstelle;110;1.164,30;939;5.240,40;95;249,8;0;;;;;;;
Zimmer Reservierungsstelle;1;30;7;46;11;17;0;;;;;;;
Umsatz Individuell;16.792,15;17.974,60;16.590,20;20.376,70;30.747,75;31.198,55;21.858,10;;;;;;;
Zimmer Individuell;160;136;117;142;219;212;143;;;;;;;
Umsatz Bucher;62.968,00;58.656,00;59.823,20;80.735,40;57.214,35;66.622,30;60.813,97;;;;;;;
Zimmer Bucher;919;846;813;1.065;749;771;748;;;;;;;
